timestamp,temperature,humidity,pressure
boot+10s,25.05,38.46,895.2
7/28/2026 7:38,25.08,38.64,895.23
7/28/2026 7:38,25.09,39,895.2
boot+10s,25.1,38.47,895.22
7/28/2026 7:38,25.11,38.67,895.2
7/28/2026 7:38,25.52,38.89,895.2
7/28/2026 7:38,25.43,38.33,895.26
7/28/2026 7:39,25.38,38.68,895.21
7/28/2026 7:39,25.35,39.45,895.26
boot+10s,25.29,38.42,895.25
boot+20s,25.28,38.53,895.22
7/28/2026 7:39,25.27,38.22,895.23
7/28/2026 7:40,25.26,38.42,895.27
7/28/2026 7:40,25.25,38.29,895.26
7/28/2026 7:40,25.24,38.36,895.24
7/28/2026 7:40,25.25,38.5,895.27
7/28/2026 7:40,25.25,38.55,895.25
7/28/2026 7:40,25.24,38.36,895.25
7/28/2026 7:41,25.23,38.23,895.23
7/28/2026 7:41,25.22,38.57,895.24
7/28/2026 7:41,25.22,38.86,895.24
7/28/2026 7:41,25.23,39.65,895.23
7/28/2026 7:41,25.24,39.17,895.23
7/28/2026 7:41,25.24,38.36,895.25
7/28/2026 7:42,25.25,38.08,895.21
7/28/2026 7:42,25.25,38,895.26
7/28/2026 7:42,25.26,38.13,895.22
7/28/2026 7:42,25.27,39.51,895.22
7/28/2026 7:42,25.28,38.58,895.22
7/28/2026 7:43,25.27,39.45,895.24
7/28/2026 7:43,25.29,39.01,895.25
7/28/2026 7:43,25.31,38.71,895.26
7/28/2026 7:43,25.3,38.6,895.26
7/28/2026 7:43,25.33,37.88,895.27
boot+10s,25.32,38.47,895.28
7/28/2026 7:45,25.36,38.06,895.31
7/28/2026 7:45,25.38,37.89,895.29
7/28/2026 7:45,25.38,37.51,895.29
7/28/2026 7:45,25.39,37.44,895.28
7/28/2026 7:45,25.39,37.67,895.24
7/28/2026 7:45,25.4,37.74,895.27
7/28/2026 7:46,25.4,37.78,895.3
7/28/2026 7:46,25.4,37.79,895.27
7/28/2026 7:46,25.39,37.58,895.27
boot+10s,25.34,38.02,895.26
7/28/2026 7:46,25.37,37.81,895.28
7/28/2026 7:47,25.38,37.86,895.28
7/28/2026 7:47,25.39,37.76,895.31
7/28/2026 7:47,25.39,37.58,895.3
7/28/2026 7:48,25.4,37.68,895.32
7/28/2026 7:48,25.4,37.5,895.3
7/28/2026 7:48,25.37,38.06,895.31
7/28/2026 7:48,25.4,38.03,895.29
7/28/2026 7:49,25.43,38.13,895.3
7/28/2026 7:49,25.44,38.23,895.3
7/28/2026 7:49,25.46,38.12,895.33
7/28/2026 7:49,25.5,38.06,895.3
7/28/2026 7:49,25.51,38.32,895.28
7/28/2026 7:49,25.53,38,895.3
7/28/2026 8:12,25.77,36.85,895.34
7/28/2026 8:12,25.81,36.39,895.29
7/28/2026 8:13,25.89,36.11,895.3
boot+15s,25.94,36.22,895.32
boot+25s,25.94,35.92,895.32
boot+35s,25.95,36.18,895.3
boot+45s,25.95,36.12,895.32
boot+55s,25.97,36.31,895.31
boot+65s,26.75,56.62,895.27
7/28/2026 8:14,26.26,36.51,895.27
7/28/2026 8:15,26.21,35.9,895.27
7/28/2026 8:15,26.29,36.96,895.28
7/28/2026 8:15,28.97,83.37,895.16
7/28/2026 8:15,29.88,67.08,895.34
7/28/2026 8:15,29.31,36.35,895.26
7/28/2026 8:16,29.17,32.87,895.25
7/28/2026 8:16,29.85,62.51,895.3
7/28/2026 8:16,30.79,77.26,895.31
7/28/2026 8:16,30.56,58.91,895.28
7/28/2026 8:17,29.63,32.47,895.24
7/28/2026 8:17,29.27,31.26,895.27
7/28/2026 8:17,29.06,32.04,895.27
7/28/2026 8:17,28.89,31.65,895.25
7/28/2026 8:17,28.72,32.11,895.22
7/28/2026 8:18,28.59,32.49,895.28
7/28/2026 8:18,28.48,32.68,895.27
7/28/2026 8:18,28.27,32.73,895.26
7/28/2026 8:18,28.19,32.67,895.25
7/28/2026 8:18,28.1,32.56,895.22
7/28/2026 8:19,28.01,32.83,895.25
7/28/2026 8:19,27.95,33.52,895.26
7/28/2026 8:19,27.96,33.12,895.27
7/28/2026 8:19,27.89,32.89,895.28
7/28/2026 8:19,27.85,32.92,895.28
7/28/2026 8:19,27.87,33.89,895.27
7/28/2026 8:20,27.83,33.37,895.27
7/28/2026 8:20,27.86,33.06,895.29
7/28/2026 8:20,27.82,33.33,895.29
7/28/2026 8:20,27.8,33.56,895.31
7/28/2026 8:20,27.79,33.38,895.27
7/28/2026 8:21,27.79,33.05,895.24
7/28/2026 8:21,27.8,33.12,895.27
7/28/2026 8:21,27.82,33.28,895.29
7/28/2026 8:21,27.82,32.92,895.3
7/28/2026 8:21,27.83,32.84,895.31
7/28/2026 8:21,27.82,32.96,895.28
7/28/2026 8:22,27.82,33.21,895.31
7/28/2026 8:22,27.82,32.97,895.29
7/28/2026 8:22,27.82,32.9,895.31
7/28/2026 8:22,27.83,33.06,895.33
7/28/2026 8:22,27.8,33.17,895.29
7/28/2026 8:22,27.83,33.46,895.27
7/28/2026 8:23,27.84,33.55,895.29
7/28/2026 8:23,27.84,32.66,895.27
7/28/2026 8:23,27.81,32.9,895.28
7/28/2026 8:23,27.77,33.19,895.27
7/28/2026 8:23,27.72,34.37,895.28
7/28/2026 8:24,27.79,33.05,895.31
7/28/2026 8:24,27.88,33.34,895.31
7/28/2026 8:24,27.86,32.92,895.28
7/28/2026 8:24,27.87,32.95,895.29
7/28/2026 8:24,27.89,33.38,895.28
7/28/2026 8:24,27.89,32.99,895.3
7/28/2026 8:25,27.9,32.65,895.3
